date,commitCount,Repository
2023-09-03,17,microsoft/autogen
2023-09-10,18,microsoft/autogen
2023-09-17,32,microsoft/autogen
2023-09-24,15,microsoft/autogen
2023-10-01,21,microsoft/autogen
2023-10-08,34,microsoft/autogen
2023-10-15,41,microsoft/autogen
2023-10-22,40,microsoft/autogen
2023-10-29,10,microsoft/autogen
2023-11-05,38,microsoft/autogen
2023-11-12,48,microsoft/autogen
2023-11-19,25,microsoft/autogen
2023-11-26,31,microsoft/autogen
2023-12-03,46,microsoft/autogen
2023-12-10,7,microsoft/autogen
2023-12-17,20,microsoft/autogen
2023-12-24,36,microsoft/autogen
2023-12-31,31,microsoft/autogen
2024-01-07,41,microsoft/autogen
2024-01-14,35,microsoft/autogen
2024-01-21,39,microsoft/autogen
2024-01-28,33,microsoft/autogen
2024-02-04,57,microsoft/autogen
2024-02-11,37,microsoft/autogen
2024-02-18,40,microsoft/autogen
2024-02-25,27,microsoft/autogen
2024-03-03,59,microsoft/autogen
2024-03-10,58,microsoft/autogen
2024-03-17,52,microsoft/autogen
2024-03-24,57,microsoft/autogen
2024-03-31,69,microsoft/autogen
2024-04-07,23,microsoft/autogen
2024-04-14,35,microsoft/autogen
2024-04-21,17,microsoft/autogen
2024-04-28,30,microsoft/autogen
2024-05-05,29,microsoft/autogen
2024-05-12,28,microsoft/autogen
2024-05-19,67,microsoft/autogen
2024-05-26,23,microsoft/autogen
2024-06-02,34,microsoft/autogen
2024-06-09,44,microsoft/autogen
2024-06-16,58,microsoft/autogen
2024-06-23,47,microsoft/autogen
2024-06-30,30,microsoft/autogen
2024-07-07,26,microsoft/autogen
2024-07-14,30,microsoft/autogen
2024-07-21,68,microsoft/autogen
2024-07-28,37,microsoft/autogen
2024-08-04,40,microsoft/autogen
2024-08-11,14,microsoft/autogen
2024-08-18,42,microsoft/autogen
2024-08-25,109,microsoft/autogen
2024-09-01,21,microsoft/autogen
2024-09-08,42,microsoft/autogen
2024-09-15,65,microsoft/autogen
2024-09-22,78,microsoft/autogen
